r,g
20.37,1
20.4,1.0001
20.43,1.0001
20.46,1.0001
20.49,1.0001
20.52,0.9999
20.55,1
20.58,1.0001
20.61,1
20.64,1
20.67,0.9998
20.7,1
20.73,1
20.76,1
20.79,1
20.82,1
20.85,1
20.88,0.9999
20.91,0.9999
20.94,1
20.97,0.9997
21,0.9998
21.03,0.9998
21.06,0.9998
21.09,0.9999
21.12,0.9999
21.15,0.9999
21.18,0.9996
21.21,1
21.24,0.9999
21.27,0.9999
21.3,0.9999
21.33,0.9997
21.36,0.9998
21.39,0.9999
21.42,0.9998
21.45,1
21.48,0.9998
21.51,0.9998
21.54,0.9995
21.57,0.9999
21.6,0.9997
21.63,1
21.66,0.9998
21.69,0.9999
21.72,0.9999
21.75,1
21.78,1.0002
21.81,0.9999
21.84,1.0001
21.87,1.0001
21.9,1.0002
21.93,1.0002
21.96,1.0003
21.99,0.9999
22.02,1
22.05,1.0002
22.08,1.0001
22.11,1
22.14,1.0002
22.17,1.0001
22.2,1.0002
22.23,1
22.26,1
22.29,1.0001
22.32,1.0002
22.35,1.0001
22.38,0.9999
22.41,1.0001
22.44,0.9999
22.47,1.0001
22.5,1
22.53,1
22.56,1
22.59,1.0001
22.62,1.0001
22.65,1
22.68,1.0002
22.71,1.0001
22.74,1.0003
22.77,1
22.8,1.0001
22.83,0.9999
22.86,1
22.89,1
22.92,0.9996
22.95,1.0001
22.98,0.9996
23.01,0.9996
23.04,0.9997
23.07,0.9994
23.1,0.9997
23.13,1
23.16,1.0003
23.19,0.9999
23.22,0.9997
23.25,0.9998
23.28,0.9995
23.31,0.9999
23.34,0.9995
23.37,0.9999
23.4,0.9995
23.43,0.9997
23.46,0.9994
23.49,0.9999
23.52,0.9998
23.55,1.0002
23.58,0.9997
23.61,1.0001
23.64,1.0003
23.67,1.0001
23.7,0.9997
23.73,0.9997
23.76,1
23.79,1.0003
23.82,1.0002
23.85,0.9998
23.88,0.9999
23.91,1.0001
23.94,1.0003
23.97,1.0002
24,1
24.03,1.0002
24.06,1
24.09,1
24.12,1.0007
24.15,1.0002
24.18,1.0001
24.21,1.0003
24.24,1
24.27,1.0006
24.3,1.0005
24.33,1
24.36,1
24.39,1.0003
24.42,1
24.45,1.0002
24.48,1
24.51,1
24.54,1.0007
24.57,1.0006
24.6,1.0001
24.63,0.9996
24.66,1.0009
24.69,1.0007
24.72,1.0008
24.75,1.0003
24.78,1.0009
24.81,1
24.84,1.0008
24.87,1.0005
24.9,1.0004
24.93,1.0002
24.96,1.0005
24.99,1.0012
