Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.2460      -12459.7426  -12460.6180       0.8754   376.2
0.2470      -12459.7286  -12460.5451       0.8165   350.9
0.2480      -12459.7294  -12460.5754       0.8460   363.6
0.2490      -12459.7503  -12460.6953       0.9450   406.1
0.2500      -12459.7482  -12460.6247       0.8765   376.7
0.2510      -12459.7205  -12460.4052       0.6847   294.3
0.2520      -12459.7271  -12460.3922       0.6652   285.9
0.2530      -12459.7454  -12460.5100       0.7646   328.6
0.2540      -12459.7413  -12460.4994       0.7581   325.8
0.2550      -12459.7248  -12460.4229       0.6982   300.1
0.2560      -12459.7328  -12460.5074       0.7746   332.9
0.2570      -12459.7463  -12460.6639       0.9176   394.4
0.2580      -12459.7501  -12460.6797       0.9296   399.5
0.2590      -12459.7266  -12460.5298       0.8032   345.2
0.2600      -12459.7283  -12460.5062       0.7779   334.3
0.2610      -12459.7476  -12460.5877       0.8401   361.1
0.2620      -12459.7406  -12460.5134       0.7728   332.2
0.2630      -12459.7223  -12460.3686       0.6463   277.8
0.2640      -12459.7253  -12460.4180       0.6926   297.7
0.2650      -12459.7465  -12460.6213       0.8748   376.0
0.2660      -12459.7501  -12460.6805       0.9304   399.9
0.2670      -12459.7297  -12460.5570       0.8274   355.6
0.2680      -12459.7258  -12460.5391       0.8133   349.6
0.2690      -12459.7475  -12460.6705       0.9229   396.7
0.2700      -12459.7459  -12460.6558       0.9099   391.1
0.2710      -12459.7305  -12460.4835       0.7530   323.6
0.2720      -12459.7197  -12460.3785       0.6588   283.2
0.2730      -12459.7347  -12460.4887       0.7540   324.1
0.2740      -12459.7551  -12460.6010       0.8459   363.6
0.2750      -12459.7328  -12460.4715       0.7388   317.5
0.2760      -12459.7173  -12460.4032       0.6859   294.8
0.2770      -12459.7436  -12460.5966       0.8529   366.6
0.2780      -12459.7522  -12460.6999       0.9478   407.3
0.2790      -12459.7258  -12460.5485       0.8227   353.6
0.2800      -12459.7117  -12460.3754       0.6637   285.2
0.2810      -12459.7128  -12460.3932       0.6804   292.4
0.2820      -12459.7408  -12460.5637       0.8229   353.7
0.2830      -12459.7417  -12460.5132       0.7715   331.6
0.2840      -12459.7021  -12460.2782       0.5761   247.6
0.2850      -12459.7177  -12460.3620       0.6443   276.9
0.2860      -12459.7413  -12460.5833       0.8420   361.9
0.2870      -12459.7303  -12460.5902       0.8599   369.6
0.2880      -12459.7194  -12460.4960       0.7766   333.8
0.2890      -12459.7141  -12460.4733       0.7593   326.3
0.2900      -12459.7241  -12460.5926       0.8685   373.3
0.2910      -12459.7449  -12460.6901       0.9451   406.2
0.2920      -12459.7262  -12460.5177       0.7914   340.2
0.2930      -12459.7027  -12460.3534       0.6507   279.7
0.2940      -12459.7300  -12460.4967       0.7667   329.5
0.2950      -12459.7357  -12460.6165       0.8808   378.5
0.2960      -12459.7260  -12460.5734       0.8474   364.2
0.2970      -12459.7181  -12460.5026       0.7845   337.2
0.2980      -12459.7153  -12460.5395       0.8242   354.3
0.2990      -12459.7329  -12460.7056       0.9727   418.1
0.3000      -12459.7392  -12460.7620       1.0228   439.6
