Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.2520      -12459.8022  -12460.8605       1.0582   454.8
0.2530      -12459.8004  -12460.8319       1.0314   443.3
0.2540      -12459.8000  -12460.8100       1.0100   434.1
0.2550      -12459.8022  -12460.7987       0.9965   428.3
0.2560      -12459.8002  -12460.7603       0.9601   412.7
0.2570      -12459.7940  -12460.7128       0.9188   394.9
0.2580      -12459.7959  -12460.7302       0.9343   401.6
0.2590      -12459.8000  -12460.7914       0.9914   426.1
0.2600      -12459.8072  -12460.8298       1.0226   439.5
0.2610      -12459.8071  -12460.7532       0.9461   406.6
0.2620      -12459.7899  -12460.6037       0.8138   349.8
0.2630      -12459.7956  -12460.6110       0.8154   350.5
0.2640      -12459.8106  -12460.6978       0.8872   381.3
0.2650      -12459.8023  -12460.6445       0.8422   362.0
0.2660      -12459.7913  -12460.5311       0.7398   318.0
0.2670      -12459.7888  -12460.5187       0.7298   313.7
0.2680      -12459.7967  -12460.6520       0.8553   367.6
0.2690      -12459.8164  -12460.8047       0.9883   424.8
0.2700      -12459.8124  -12460.7187       0.9063   389.5
0.2710      -12459.7756  -12460.5095       0.7340   315.5
0.2720      -12459.7980  -12460.6397       0.8417   361.7
0.2730      -12459.8210  -12460.8362       1.0152   436.3
0.2740      -12459.8042  -12460.7447       0.9404   404.2
0.2750      -12459.7875  -12460.5570       0.7695   330.7
0.2760      -12459.7819  -12460.5328       0.7508   322.7
0.2770      -12459.7969  -12460.7500       0.9530   409.6
0.2780      -12459.8229  -12460.9763       1.1534   495.7
0.2790      -12459.8145  -12460.8659       1.0514   451.9
0.2800      -12459.7750  -12460.5894       0.8144   350.0
0.2810      -12459.7936  -12460.6650       0.8715   374.6
0.2820      -12459.8212  -12460.8660       1.0448   449.1
0.2830      -12459.8091  -12460.7798       0.9707   417.2
0.2840      -12459.7871  -12460.5372       0.7500   322.4
0.2850      -12459.7807  -12460.4611       0.6805   292.5
0.2860      -12459.7985  -12460.6457       0.8472   364.1
0.2870      -12459.8170  -12460.8350       1.0180   437.5
0.2880      -12459.8063  -12460.7861       0.9798   421.1
0.2890      -12459.7917  -12460.6567       0.8650   371.8
0.2900      -12459.7932  -12460.6760       0.8828   379.4
0.2910      -12459.8120  -12460.7994       0.9874   424.4
0.2920      -12459.8096  -12460.7657       0.9562   411.0
0.2930      -12459.7907  -12460.5881       0.7974   342.7
0.2940      -12459.7886  -12460.5176       0.7290   313.3
0.2950      -12459.8010  -12460.5903       0.7893   339.2
0.2960      -12459.8022  -12460.6435       0.8413   361.6
0.2970      -12459.7987  -12460.6569       0.8583   368.9
0.2980      -12459.8070  -12460.6713       0.8644   371.5
0.2990      -12459.7983  -12460.6140       0.8157   350.6
0.3000      -12459.7957  -12460.5904       0.7947   341.6
